details,etat,adresse,prix,image_lien
SPLIT ELACTRON 2.5CV INVERTER 18000BTU,Neuf,Plateau Dakar,269000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b76ee6ebf3b11038e3c08a2f085207b6/-/horizon-files-prod/ed/picture/q2jqmxzg/4260c78600f48d44ee5809c804abedb8948112a8.jpg
SPLIT ELACTRON 2.5CV 18000BTU R1410,Neuf,Plateau Dakar,229000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b236bbb3196289f7b338d03eb21bfb63/-/horizon-files-prod/ed/picture/q448kg44/4148b042d7aa0fdba730575be02df0d7bae47e1d.jpg
SPLIT ELACTRON 1.25CV INVERTER 9000BTU,Neuf,Plateau Dakar,179000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8700d5baa78f8467a6dd64736bcb7390/-/horizon-files-prod/ed/picture/qm5p2w5g/2a45099437e6eb174d1d44316f8fc165385b51de.jpg
SPLIT ELACTRON 1.25CV 9000BTU R410,Neuf,Plateau Dakar,149000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ab1cbfad1c8ba71d8421e17ba4345761/-/horizon-files-prod/ed/picture/qdek8ge4/c3bb1df6d84855a1231c108d5574c4caa57711ca.jpg
Climatiseur armoire 24000btu ROCH,Neuf,Plateau Dakar,545000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7fa4ab39245b0269be27d141da614f28/-/horizon-files-prod/ed/picture/qenq4eg2/a59a5e763deb1fbc7ab6f9b7e9f649e6ff445791.jpg
Split 12000btu binatone R410,Neuf,Plateau Dakar,170000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2a19bd942084c4149d56286e803d964/-/horizon-files-prod/ed/picture/qdek88r2/ee8fc56b4a3bc0cb8de5ff5631bfae15838805fe.png
SPLIT ARMOIRE ELACTRON 24000BTU,Neuf,Plateau Dakar,579000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ecb803223072fe2cd18b9b08e4e25a20/-/horizon-files-prod/ed/picture/q9m977m5/f0bec2ac4d60d401c820bd65ab4a3e10d81b6158.jpg
Climatiseur Split SHARP 9000btu,Neuf,Plateau Dakar,154900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d8608891043c76a70edaa7c923e8f618/-/horizon-files-prod/ed/picture/qpd6rk94/cabc79ef463b549808bda3e4483573f4303097fe.jpg
SPLIT ELACTRON DUAL INVERTER A+++ 1.25CV 9000BTU,Neuf,Plateau Dakar,249000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f925195731158780f6c4ffbcbe656a02/-/horizon-files-prod/ed/picture/qq4700gv/9508ac0d1ab4effc04e35c5af0c396330388914b.jpg
REFROIDISSEUR D'AIR BINATONE 20L,Neuf,Ouakam Dakar,74900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eff9b25669604da37943c9632c76d829/-/horizon-files-prod/ed/picture/qnmpwv0/44d18cdfd43a2a0255c013ba44ac84cf24b8af81.jpg
SPLIT SAMSUNG 18000BTU 2.5 CV R410 MAX,Neuf,Plateau Dakar,330000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/68265e1912a33996d26662377d9bc397/-/horizon-files-prod/ed/picture/qgqgkx2r/555d027deef5aae37f01b3ab197342c754aa0532.jpg
SPLIT ELACTRON DUAL INVERTERA+++1.5CV 12000BTU,Neuf,Plateau Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c2960f0f5205422632c844b7eeb17b58/-/horizon-files-prod/ed/picture/qzvdmngg/dc7aa1d82d0e90b33b369f84d5ab85e55ab72eb0.jpg
SPLIT ELACTRON DUEL INVERTER A+++WIFI 2.CV 18000BTU,Neuf,Plateau Dakar,369000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/422b6b934e91d285b4fb756b095a68da/-/horizon-files-prod/ed/picture/q0gwrqpw/e838f3594eb424e0ccd309084f85733a3176a79d.jpg
"Split smart technologies 12000btu(1,5)",Neuf,Ouakam Dakar,149900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e163158f08a35d7e9f5b66919e529964/-/horizon-files-prod/ed/picture/qrzv9r0n/db66c224e068be319f6fe86792609d2c7716f240.jpg
Climatiseur Portable 1.5 CV Roch Split,Neuf,Parcelles Assainies Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b0b3f2e1dc3b12d7f1671b88af48d150/-/horizon-files-prod/ed/picture/qpd6vxrj/b6396c803107444d62c5895edf1fde5c77442c03.png
Split Midea big bazar allemand,Neuf,Liberte 5 Dakar,210000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ed6d59cee37340102437ffaa3abb3b3a/-/horizon-files-prod/ed/picture/qenq4665/73c45ec53caf10c92ede95da5006d1a5fda583d5.jpg
Ventilateurs de plafond Intelligent LED + Télécommande,Neuf,Nord foire Dakar,50000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3751d5b864229041f7d86b0fd6c40dc9/-/horizon-files-prod/ed/picture/q2jq6e2e/ead1fafa2acbfdb6e98f29bacc93adc7bdd99011.jpg
SPLIT SAMSUNG AR 12000 BTU 1.5CV MAX,Neuf,Colobane Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7da053584579eabde5585cf2dc21fd14/-/horizon-files-prod/ed/picture/qm5p29nj/3ea0349e1e1d18efe37f52e34ab46fc9a456c627.jpg
VENTILATEUR SMART TECHNOLOGY SUR PIED 1890C,Neuf,Plateau Dakar,21000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c67115706d4fcc94a2a309e4c80177c4/-/horizon-files-prod/ed/picture/qm5pxmwq/6a86e35e317030ed650c33f09263692ead283f5c.jpg
VENTILATEUR SOLSTAR DE TYPE 3EN 1 FA1803,Neuf,Plateau Dakar,29000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3d4677058d530576bcd827f832968708/-/horizon-files-prod/ed/picture/q0gweprj/506770f309958fcdf53ad30691db5112f65a5ad0.jpg
