details,adresse,prix,etat,image_lien
AIR FRYER HISENSE,Ouakam Dakar,75000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/256b6cad4b6265ec81b3760f516a1ea3/-/horizon-files-prod/ed/picture/qgqq6pxq/dd2c09715a031d1624a8c66de9e39b97080c79c9.jpg
Plaque de cuisson Taurus,Hlm Dakar,75000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/75753024e3b0f7bb437a744ed21ae90c/-/horizon-files-prod/ed/picture/qrzvxmv2/64826ebb82c6234ad88b3b889af052e4d77acbc8.jpg
CUISINIERE HISENSE 4FEUX 60X60 A GAZ INOX HFG60121X,Plateau Dakar,199900,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/54b908217f3a2ac7587f5a9861c86d57/-/horizon-files-prod/ed/picture/qm5per9j/2aec8e16d6b4c36de8d5e12aebb0792c7f8e9699.jpg
CUISINIERE HISENSE 5FEUX 90X60 A GAZ SILVER HFS90GA5ES,Plateau Dakar,379900,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3b08e1381e4e1f816e3e286108593ea5/-/horizon-files-prod/ed/picture/qdekpwjm/6ec7ee523e6f7d1e9b7d8601e0ad9ccb67a8ddc6.jpg
CUISINIERE TECHNOLUX 4FEUX 60X60 TEC60CS NEW,Plateau Dakar,139000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/26be5e0b109e10df23c2f9b044014520/-/horizon-files-prod/ed/picture/q8v5wz77/05385fa022bc6831405f1608118a4021e539a6b9.jpg
CUISINIERE 4FEUX ELECTRIQUE 60X60 ASTECH,Plateau Dakar,249000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3cf1c2e03fff2ceb4a4d0d8390a49874/-/horizon-files-prod/ed/picture/qrzveq99/88706d033073bd6bea6bdf7adffa900f0948804a.jpg
CUISINIERE ASTECH 4FEUX 60X60 1F ELECTRIQUE ET 3F GAZ,Plateau Dakar,198000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f459de41ba269d02a81e8ec3cc11652/-/horizon-files-prod/ed/picture/q0gwj2eg/7eee7090681edcae622917dcf476b77b4331bc22.jpg
Barbecue à gaz,Plateau Dakar,270000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2686e03d3fd2f0e374e09c69ca143f41/-/horizon-files-prod/ed/picture/qrzveqkn/69a7d78906e73bb0c1dfc712c157dde0f94155f9.jpg
Réchaud à gaz 3 Feu + Détendeur + Bouteille,Ouakam Dakar,42000,Réconditionné,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5dcfe55fbe20e69efe851fbd7de774e3/-/horizon-files-prod/ed/picture/q8v5wzpr/d9195d1e3b008c1d687b7f3778cf78de69c12d7c.png
CUISINIERE 6FEUX 2FEUX ELECTRQUE+4FEUX GAZ,Plateau Dakar,310000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/46f7bfc8d697731679b415e61866e582/-/horizon-files-prod/ed/picture/qpd6ewzr/105d88a1742eedf749be375c7742d9a3a59c05f6.jpg
HOTTE DE CUISINE ROCH 60X60 INOX,Plateau Dakar,110000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/724722f0168cc8994b4eba6c7b4f6d78/-/horizon-files-prod/ed/picture/q8v52gmp/0b124554a004f9996782f8011f3b061f606b8d76.jpg
CUISINIERE ASTECH 4FEUX 60X60 FULL OPTION+ECRAN,Plateau Dakar,259000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/67f3c766d8f27715bc400e80fb425c3a/-/horizon-files-prod/ed/picture/q56x04e0/0d2f08585c0cb678f8bd4d12db147ea663eacbbf.jpg
Friteuse Electrique KENWOOD,Plateau Dakar,70000,Neuf,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bcd74c2982f8f3dbc19cf9fc2d8c61c1/-/horizon-files-prod/ed/picture/qm55gq8w/386e2debc70235b730bab5fa6d77b6f5911ea56c.jpg
