details,etat,adresse,prix,image_lien
CONGELATEUR XPER VERTICAL 6 TIROIRS PLAQ ALU GT245,Neuf,Plateau Dakar,250000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1821aa8f1acd76da00b7e4384ed22cf/-/horizon-files-prod/ed/picture/qpdpv20r/36b640f2aa7c0d05f6a4f745eae31279c3515d20.jpg
REFRIGERATEUR ASTECH 3TIROIRS 180L A++,Neuf,Ouakam Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/49dbc43259adbc04b7aaea75183f48db/-/horizon-files-prod/ed/picture/qv4p9z95/5fd33984f5aa5971be636669405be4a8d21513eb.jpg
CONGELATEUR WESTPOOL HORIZONTAL 300 LITRES,Neuf,Plateau Dakar,320000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2413e0e086612193571af62e322bad3f/-/horizon-files-prod/ed/picture/qrz2955g/bc5fe6946779eecfc4f59ab0fb4f9b92495bdd27.jpg
Congélateur vertical Hisense 5T,Neuf,Ouakam Dakar,200000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/faa306f97c4676488cc4799b9cdb47f7/-/horizon-files-prod/ed/picture/qpd692nw/dffc962ee9c9150405371f22fe238e1f2a8c33f3.jpg
Réfrigérateur-congélateur Wolkenstein 262L,Neuf,Plateau Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cde886b5e880b6afc5946f3650486b8f/-/horizon-files-prod/ed/picture/qnggnzew/bf5f0d3bc6d9c3993675403ac2404685692981d7.jpg
FONTAINE ELACTRON AVEC FRIGO BLANC FN-566E,Neuf,Plateau Dakar,150000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/463159167563da42f8607aa20ba2003a/-/horizon-files-prod/ed/picture/q0gwvenw/60b380d7c55bf70edcaabc49bd47e4c8ec8643eb.jpg
Réfrigérateur bar 1 porte DESKA,Neuf,Colobane Dakar,84900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c01a534bfe598639a02687e3beb21b2/-/horizon-files-prod/ed/picture/qkrgwzk5/db64dcc32f99794a4ed1bd8fd461af8f3159be1d.jpg
Congélateur 250 litre Ascoli,Neuf,Colobane Dakar,120000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6342740955d344d0cf6fd7fd31913ff6/-/horizon-files-prod/ed/picture/qdek5gq0/ff7f7165b8db4483c8fd2fd3ea55c9332b6f42b9.jpg
CONGELATEUR HISENSE HORIZONTAL SILVER FC-19DD4SA,Neuf,Plateau Dakar,260000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5799aac617e1e4c85237200358ba838/-/horizon-files-prod/ed/picture/qrzqkxk2/9ef340a47ee51646067a0110f749d612b70d3572.jpg
Congélateur smart t300 litre,Neuf,Plateau Dakar,164900,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc77262ec84b285bd5d2a079ea84b2a9/-/horizon-files-prod/ed/picture/qxj2mrgn/3897c686ab1b8d8d3991abc6410e9e2b75c123a0.jpg
