details,etat,adresse,prix,image_lien
Machine a laver 15 kg Samsung,Neuf,Plateau Dakar,420000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d6473d718eb3d7c45eb365d2fadfe05/-/horizon-files-prod/ed/picture/q785q6ke/92dfd537958fa56c4e5c10b089ce52259389d596.jpg
Machine a laver sharp 11 kg,Neuf,Plateau Dakar,300000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c68d35e3794be2310310ec46fa8c6ebc/-/horizon-files-prod/ed/picture/q0gw64qm/9476b0b04ba44c0cc269bbd3a3670d7996374827.jpg
MACHINE A LAVER SHARP 8KG SLVER,Neuf,Plateau Dakar,219000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/92c9fd5cdf95a53bfef805976d41163d/-/horizon-files-prod/ed/picture/qv4erj22/c3d7f5be6ca36eb401cafb89a0740f9a8b45810c.jpg
MACHINE A LAVER SHARP 10KG SLVER FULL AUTOMATIQUE,Neuf,Plateau Dakar,249000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c300f3f70560e1332bb87f911426513/-/horizon-files-prod/ed/picture/qzvdkm8v/a860ec056b27a17f762e29f14c28390790146eae.jpg
MACHINE A LAVER SHARP 11KG AUTOMATIQUE TOP LOADING,Neuf,Plateau Dakar,259000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4a63678a9a34ff6747b241b522ff502/-/horizon-files-prod/ed/picture/qq47n0wp/06af9213d4f826fa4b428002a4a39a883af0f17f.jpg
Machines à laver,Venant,Guediawaye Dakar,95000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca3629fc40ca97bff1adc59d290ca62f/-/horizon-files-prod/ed/picture/qwe2x4xj/75509039c23a735e14fdb0144b3f52735dd014cf.jpg
Machine à laver Samsung 7kg 5,D'occasion,Guediawaye Dakar,145000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/65c34284e0b198b48e43ccdd2af04767/-/horizon-files-prod/ed/picture/qv4e0ww2/b63a6636dbff44919f4b2d09cbf00830d31db4c8.jpg
Machine à laver Bosch,Venant,Sacré-cœur Dakar,140000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4740f7e3f773e664946b9b7961268d2/-/horizon-files-prod/ed/picture/q9m9zpjj/c7e737d616e415bca960632bacc4be0b8654a521.jpg
Machine à laver Faure 7-8 kg,Venant,Sacré-cœur Dakar,130000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5ac36ef9207e3f134c4a9ec03f218d79/-/horizon-files-prod/ed/picture/qm5p7z6r/013d36f14d61e78e402170fc521f9f8373f52063.jpg
MACHINE A LAVER 10KG ASTECH SILVER,Neuf,Plateau Dakar,279000,https://i.roamcdn.net/hz/ed/listing-thumb-543w/765a00781a848032aeefb3d14421ba39/-/horizon-files-prod/ed/picture/qrzvwgwq/43574a05efb2785aa5fd1be9c371fca89d532c6e.jpg
