web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717211664-1","https://www.expat-dakar.com/climatisation?page=20","SPLIT ELACTRON 2.5CV INVERTER 18000BTU
Neuf
Plateau,
Dakar

24. avr., 17:39

269 000 F Cfa

776862827","https://www.expat-dakar.com/annonce/split-elactron-25cv-inverter-18000btu-6055817","SPLIT ELACTRON 2.5CV INVERTER 18000BTU","Neuf","Plateau

Dakar","269 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b76ee6ebf3b11038e3c08a2f085207b6/-/horizon-files-prod/ed/picture/q2jqmxzg/4260c78600f48d44ee5809c804abedb8948112a8.jpg"
"1717211666-2","https://www.expat-dakar.com/climatisation?page=20","SPLIT ELACTRON 2.5CV 18000BTU R1410
Neuf
Plateau,
Dakar

24. avr., 17:51

229 000 F Cfa

770723466","https://www.expat-dakar.com/annonce/split-elactron-25cv-18000btu-r1410-6055831","SPLIT ELACTRON 2.5CV 18000BTU R1410","Neuf","Plateau

Dakar","229 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b236bbb3196289f7b338d03eb21bfb63/-/horizon-files-prod/ed/picture/q448kg44/4148b042d7aa0fdba730575be02df0d7bae47e1d.jpg"
"1717211669-3","https://www.expat-dakar.com/climatisation?page=20","SPLIT ELACTRON 1.25CV INVERTER 9000BTU
Neuf
Plateau,
Dakar

24. avr., 17:57

179 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/split-elactron-125cv-inverter-9000btu-6055834","SPLIT ELACTRON 1.25CV INVERTER 9000BTU","Neuf","Plateau

Dakar","179 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8700d5baa78f8467a6dd64736bcb7390/-/horizon-files-prod/ed/picture/qm5p2w5g/2a45099437e6eb174d1d44316f8fc165385b51de.jpg"
"1717211671-4","https://www.expat-dakar.com/climatisation?page=20","SPLIT ELACTRON 1.25CV 9000BTU R410
Neuf
Plateau,
Dakar

24. avr., 18:02

149 000 F Cfa

783860578","https://www.expat-dakar.com/annonce/split-elactron-125cv-9000btu-r410-6055840","SPLIT ELACTRON 1.25CV 9000BTU R410","Neuf","Plateau

Dakar","149 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ab1cbfad1c8ba71d8421e17ba4345761/-/horizon-files-prod/ed/picture/qdek8ge4/c3bb1df6d84855a1231c108d5574c4caa57711ca.jpg"
"1717211674-5","https://www.expat-dakar.com/climatisation?page=20","Climatiseur armoire 24000btu ROCH
Neuf
Plateau,
Dakar

25. avr., 15:46

545 000 F Cfa

778452442

778452442","https://www.expat-dakar.com/annonce/climatiseur-armoire-24000btu-roch-6056764","Climatiseur armoire 24000btu ROCH","Neuf","Plateau

Dakar","545 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7fa4ab39245b0269be27d141da614f28/-/horizon-files-prod/ed/picture/qenq4eg2/a59a5e763deb1fbc7ab6f9b7e9f649e6ff445791.jpg"
"1717211676-6","https://www.expat-dakar.com/climatisation?page=20","Split 12000btu binatone R410
Neuf
Plateau,
Dakar

25. avr., 16:10

170 000 F Cfa

778452442

778452442","https://www.expat-dakar.com/annonce/split-12000btu-binatone-r410-6056784","Split 12000btu binatone R410","Neuf","Plateau

Dakar","170 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d2a19bd942084c4149d56286e803d964/-/horizon-files-prod/ed/picture/qdek88r2/ee8fc56b4a3bc0cb8de5ff5631bfae15838805fe.png"
"1717211679-7","https://www.expat-dakar.com/climatisation?page=20","SPLIT ARMOIRE ELACTRON 24000BTU
Neuf
Plateau,
Dakar

25. avr., 16:41

579 000 F Cfa

783050985","https://www.expat-dakar.com/annonce/split-armoire-elactron-24000btu-6056804","SPLIT ARMOIRE ELACTRON 24000BTU","Neuf","Plateau

Dakar","579 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ecb803223072fe2cd18b9b08e4e25a20/-/horizon-files-prod/ed/picture/q9m977m5/f0bec2ac4d60d401c820bd65ab4a3e10d81b6158.jpg"
"1717211681-8","https://www.expat-dakar.com/climatisation?page=20","Climatiseur Split SHARP 9000btu
Neuf
Plateau,
Dakar

29. avr., 15:20

154 900 F Cfa

778452442

778452442","https://www.expat-dakar.com/annonce/climatiseur-split-sharp-9000btu-6015982","Climatiseur Split SHARP 9000btu","Neuf","Plateau

Dakar","154 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d8608891043c76a70edaa7c923e8f618/-/horizon-files-prod/ed/picture/qpd6rk94/cabc79ef463b549808bda3e4483573f4303097fe.jpg"
"1717211684-9","https://www.expat-dakar.com/climatisation?page=20","SPLIT ELACTRON DUAL INVERTER A+++ 1.25CV 9000BTU
Neuf
Plateau,
Dakar

26. avr., 01:36

249 000 F Cfa

768882180","https://www.expat-dakar.com/annonce/split-elactron-dual-inverter-a-125cv-9000btu-6057007","SPLIT ELACTRON DUAL INVERTER A+++ 1.25CV 9000BTU","Neuf","Plateau

Dakar","249 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/f925195731158780f6c4ffbcbe656a02/-/horizon-files-prod/ed/picture/qq4700gv/9508ac0d1ab4effc04e35c5af0c396330388914b.jpg"
"1717211686-10","https://www.expat-dakar.com/climatisation?page=20","REFROIDISSEUR D'AIR BINATONE 20L
Neuf
Ouakam,
Dakar

26. avr., 12:36

Vendeur vérifié

74 900 F Cfa

90 000 F Cfa

Économisez 16.8%

770521414

709557473","https://www.expat-dakar.com/annonce/refroidisseur-dair-binatone-20l-4498149","REFROIDISSEUR D'AIR BINATONE 20L","Neuf","Ouakam

Dakar","74 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/eff9b25669604da37943c9632c76d829/-/horizon-files-prod/ed/picture/qnmpwv0/44d18cdfd43a2a0255c013ba44ac84cf24b8af81.jpg"
