web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,adresse,prix,etat,image_lien-src
"1717211774-1","https://www.expat-dakar.com/cuisinieres-fours?page=20","AIR FRYER HISENSE
Neuf
Ouakam,
Dakar

29. mars, 09:51

Vendeur vérifié

69 900 F Cfa

75 000 F Cfa

Économisez 6.8%

770521414

709557473","https://www.expat-dakar.com/annonce/air-fryer-hisense-5561557","AIR FRYER HISENSE","Ouakam

Dakar","75 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/256b6cad4b6265ec81b3760f516a1ea3/-/horizon-files-prod/ed/picture/qgqq6pxq/dd2c09715a031d1624a8c66de9e39b97080c79c9.jpg"
"1717211776-1","https://www.expat-dakar.com/cuisinieres-fours?page=20","AIR FRYER HISENSE
Neuf
Ouakam,
Dakar

29. mars, 09:51

Vendeur vérifié

69 900 F Cfa

75 000 F Cfa

Économisez 6.8%

770521414

709557473","https://www.expat-dakar.com/annonce/air-fryer-hisense-5561557","AIR FRYER HISENSE","Ouakam

Dakar","75 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/256b6cad4b6265ec81b3760f516a1ea3/-/horizon-files-prod/ed/picture/qgqq6pxq/dd2c09715a031d1624a8c66de9e39b97080c79c9.jpg"
"1717211778-2","https://www.expat-dakar.com/cuisinieres-fours?page=20","Plaque de cuisson Taurus
Neuf
Hlm,
Dakar

29. mars, 14:57

Vendeur vérifié

70 000 F Cfa

75 000 F Cfa

Économisez 6.7%

773778274","https://www.expat-dakar.com/annonce/plaque-de-cuisson-taurus-6033610","Plaque de cuisson Taurus","Hlm

Dakar","75 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/75753024e3b0f7bb437a744ed21ae90c/-/horizon-files-prod/ed/picture/qrzvxmv2/64826ebb82c6234ad88b3b889af052e4d77acbc8.jpg"
"1717211779-2","https://www.expat-dakar.com/cuisinieres-fours?page=20","Plaque de cuisson Taurus
Neuf
Hlm,
Dakar

29. mars, 14:57

Vendeur vérifié

70 000 F Cfa

75 000 F Cfa

Économisez 6.7%

773778274","https://www.expat-dakar.com/annonce/plaque-de-cuisson-taurus-6033610","Plaque de cuisson Taurus","Hlm

Dakar","75 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/75753024e3b0f7bb437a744ed21ae90c/-/horizon-files-prod/ed/picture/qrzvxmv2/64826ebb82c6234ad88b3b889af052e4d77acbc8.jpg"
"1717211781-3","https://www.expat-dakar.com/cuisinieres-fours?page=20","CUISINIERE HISENSE 4FEUX 60X60 A GAZ INOX HFG60121X
Neuf
Plateau,
Dakar

31. mars, 16:34

199 900 F Cfa

773448645","https://www.expat-dakar.com/annonce/cuisiniere-hisense-4feux-60x60-a-gaz-inox-hfg60121x-6038656","CUISINIERE HISENSE 4FEUX 60X60 A GAZ INOX HFG60121X","Plateau

Dakar","199 900 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/54b908217f3a2ac7587f5a9861c86d57/-/horizon-files-prod/ed/picture/qm5per9j/2aec8e16d6b4c36de8d5e12aebb0792c7f8e9699.jpg"
"1717211782-3","https://www.expat-dakar.com/cuisinieres-fours?page=20","CUISINIERE HISENSE 4FEUX 60X60 A GAZ INOX HFG60121X
Neuf
Plateau,
Dakar

31. mars, 16:34

199 900 F Cfa

773448645","https://www.expat-dakar.com/annonce/cuisiniere-hisense-4feux-60x60-a-gaz-inox-hfg60121x-6038656","CUISINIERE HISENSE 4FEUX 60X60 A GAZ INOX HFG60121X","Plateau

Dakar","199 900 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/54b908217f3a2ac7587f5a9861c86d57/-/horizon-files-prod/ed/picture/qm5per9j/2aec8e16d6b4c36de8d5e12aebb0792c7f8e9699.jpg"
"1717211785-4","https://www.expat-dakar.com/cuisinieres-fours?page=20","CUISINIERE HISENSE 5FEUX 90X60 A GAZ SILVER HFS90GA5ES
Neuf
Plateau,
Dakar

31. mars, 16:50

379 900 F Cfa

773448645","https://www.expat-dakar.com/annonce/cuisiniere-hisense-5feux-90x60-a-gaz-silver-hfs90ga5es-6038662","CUISINIERE HISENSE 5FEUX 90X60 A GAZ SILVER HFS90GA5ES","Plateau

Dakar","379 900 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3b08e1381e4e1f816e3e286108593ea5/-/horizon-files-prod/ed/picture/qdekpwjm/6ec7ee523e6f7d1e9b7d8601e0ad9ccb67a8ddc6.jpg"
"1717211789-5","https://www.expat-dakar.com/cuisinieres-fours?page=20","CUISINIERE TECHNOLUX 4FEUX 60X60 TEC60CS NEW
Neuf
Plateau,
Dakar

31. mars, 21:17

139 000 F Cfa

773448645","https://www.expat-dakar.com/annonce/cuisiniere-technolux-4feux-60x60-tec60cs-new-6038752","CUISINIERE TECHNOLUX 4FEUX 60X60 TEC60CS NEW","Plateau

Dakar","139 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/26be5e0b109e10df23c2f9b044014520/-/horizon-files-prod/ed/picture/q8v5wz77/05385fa022bc6831405f1608118a4021e539a6b9.jpg"
"1717211793-6","https://www.expat-dakar.com/cuisinieres-fours?page=20","CUISINIERE 4FEUX ELECTRIQUE 60X60 ASTECH
Neuf
Plateau,
Dakar

1. avr., 00:39

249 000 F Cfa

776862827","https://www.expat-dakar.com/annonce/cuisiniere-4feux-electrique-60x60-astech-6038798","CUISINIERE 4FEUX ELECTRIQUE 60X60 ASTECH","Plateau

Dakar","249 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/3cf1c2e03fff2ceb4a4d0d8390a49874/-/horizon-files-prod/ed/picture/qrzveq99/88706d033073bd6bea6bdf7adffa900f0948804a.jpg"
"1717211796-7","https://www.expat-dakar.com/cuisinieres-fours?page=20","CUISINIERE ASTECH 4FEUX 60X60 1F ELECTRIQUE ET 3F GAZ
Neuf
Plateau,
Dakar

1. avr., 01:38

198 000 F Cfa

781066640

781066640","https://www.expat-dakar.com/annonce/cuisiniere-astech-4feux-60x60-1f-electrique-et-3f-gaz-6038803","CUISINIERE ASTECH 4FEUX 60X60 1F ELECTRIQUE ET 3F GAZ","Plateau

Dakar","198 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f459de41ba269d02a81e8ec3cc11652/-/horizon-files-prod/ed/picture/q0gwj2eg/7eee7090681edcae622917dcf476b77b4331bc22.jpg"
"1717211797-7","https://www.expat-dakar.com/cuisinieres-fours?page=20","CUISINIERE ASTECH 4FEUX 60X60 1F ELECTRIQUE ET 3F GAZ
Neuf
Plateau,
Dakar

1. avr., 01:38

198 000 F Cfa

781066640

781066640","https://www.expat-dakar.com/annonce/cuisiniere-astech-4feux-60x60-1f-electrique-et-3f-gaz-6038803","CUISINIERE ASTECH 4FEUX 60X60 1F ELECTRIQUE ET 3F GAZ","Plateau

Dakar","198 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5f459de41ba269d02a81e8ec3cc11652/-/horizon-files-prod/ed/picture/q0gwj2eg/7eee7090681edcae622917dcf476b77b4331bc22.jpg"
"1717211799-8","https://www.expat-dakar.com/cuisinieres-fours?page=20","Barbecue à gaz
Neuf
Plateau,
Dakar

1. avr., 01:37

270 000 F Cfa

776577417","https://www.expat-dakar.com/annonce/barbecue-a-gaz-6038676","Barbecue à gaz","Plateau

Dakar","270 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2686e03d3fd2f0e374e09c69ca143f41/-/horizon-files-prod/ed/picture/qrzveqkn/69a7d78906e73bb0c1dfc712c157dde0f94155f9.jpg"
"1717211801-8","https://www.expat-dakar.com/cuisinieres-fours?page=20","Barbecue à gaz
Neuf
Plateau,
Dakar

1. avr., 01:37

270 000 F Cfa

776577417","https://www.expat-dakar.com/annonce/barbecue-a-gaz-6038676","Barbecue à gaz","Plateau

Dakar","270 000 F Cfa","Neuf","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2686e03d3fd2f0e374e09c69ca143f41/-/horizon-files-prod/ed/picture/qrzveqkn/69a7d78906e73bb0c1dfc712c157dde0f94155f9.jpg"
