web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717211625-1","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","CONGELATEUR XPER VERTICAL 6 TIROIRS PLAQ ALU GT245
Neuf
Plateau,
Dakar

vendredi, 10:23

Vendeur vérifié

250 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/congelateur-xper-vertical-6-tiroirs-plaq-alu-gt245-5350282","CONGELATEUR XPER VERTICAL 6 TIROIRS PLAQ ALU GT245","Neuf","Plateau

Dakar","250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1821aa8f1acd76da00b7e4384ed22cf/-/horizon-files-prod/ed/picture/qpdpv20r/36b640f2aa7c0d05f6a4f745eae31279c3515d20.jpg"
"1717211628-2","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","REFRIGERATEUR ASTECH 3TIROIRS 180L A++
Neuf
Ouakam,
Dakar

vendredi, 10:33

Vendeur vérifié

169 900 F Cfa

200 000 F Cfa

Économisez 15.1%

770521414

709557473","https://www.expat-dakar.com/annonce/refrigerateur-astech-3tiroirs-180l-a-5701202","REFRIGERATEUR ASTECH 3TIROIRS 180L A++","Neuf","Ouakam

Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/49dbc43259adbc04b7aaea75183f48db/-/horizon-files-prod/ed/picture/qv4p9z95/5fd33984f5aa5971be636669405be4a8d21513eb.jpg"
"1717211630-3","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","CONGELATEUR WESTPOOL HORIZONTAL 300 LITRES
Neuf
Plateau,
Dakar

vendredi, 10:37

Vendeur vérifié

320 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/congelateur-westpool-horizontal-300-litres-5350376","CONGELATEUR WESTPOOL HORIZONTAL 300 LITRES","Neuf","Plateau

Dakar","320 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/2413e0e086612193571af62e322bad3f/-/horizon-files-prod/ed/picture/qrz2955g/bc5fe6946779eecfc4f59ab0fb4f9b92495bdd27.jpg"
"1717211633-4","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","Congélateur vertical Hisense 5T
Neuf
Ouakam,
Dakar

vendredi, 10:37

Vendeur vérifié

184 900 F Cfa

200 000 F Cfa

Économisez 7.6%

770521414

709557473","https://www.expat-dakar.com/annonce/congelateur-vertical-hisense-5t-6021116","Congélateur vertical Hisense 5T","Neuf","Ouakam

Dakar","200 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/faa306f97c4676488cc4799b9cdb47f7/-/horizon-files-prod/ed/picture/qpd692nw/dffc962ee9c9150405371f22fe238e1f2a8c33f3.jpg"
"1717211635-5","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","Réfrigérateur-congélateur Wolkenstein 262L
Neuf
Plateau,
Dakar

vendredi, 10:43

Vendeur vérifié

300 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/refrigerateur-congelateur-wolkenstein-262l-5521371","Réfrigérateur-congélateur Wolkenstein 262L","Neuf","Plateau

Dakar","300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cde886b5e880b6afc5946f3650486b8f/-/horizon-files-prod/ed/picture/qnggnzew/bf5f0d3bc6d9c3993675403ac2404685692981d7.jpg"
"1717211638-6","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","FONTAINE ELACTRON AVEC FRIGO BLANC FN-566E
Neuf
Plateau,
Dakar

vendredi, 11:04

Vendeur vérifié

150 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/fontaine-elactron-avec-frigo-blanc-fn-566e-6014803","FONTAINE ELACTRON AVEC FRIGO BLANC FN-566E","Neuf","Plateau

Dakar","150 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/463159167563da42f8607aa20ba2003a/-/horizon-files-prod/ed/picture/q0gwvenw/60b380d7c55bf70edcaabc49bd47e4c8ec8643eb.jpg"
"1717211640-7","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","Réfrigérateur bar 1 porte DESKA
Neuf
Colobane,
Dakar

vendredi, 12:18

84 900 F Cfa

763762042","https://www.expat-dakar.com/annonce/refrigerateur-bar-1-porte-deska-6077436","Réfrigérateur bar 1 porte DESKA","Neuf","Colobane

Dakar","84 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c01a534bfe598639a02687e3beb21b2/-/horizon-files-prod/ed/picture/qkrgwzk5/db64dcc32f99794a4ed1bd8fd461af8f3159be1d.jpg"
"1717211643-8","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","Congélateur 250 litre Ascoli
Neuf
Colobane,
Dakar

vendredi, 12:21

120 000 F Cfa

763762042","https://www.expat-dakar.com/annonce/congelateur-250-litre-ascoli-6077440","Congélateur 250 litre Ascoli","Neuf","Colobane

Dakar","120 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/6342740955d344d0cf6fd7fd31913ff6/-/horizon-files-prod/ed/picture/qdek5gq0/ff7f7165b8db4483c8fd2fd3ea55c9332b6f42b9.jpg"
"1717211645-9","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","CONGELATEUR HISENSE HORIZONTAL SILVER FC-19DD4SA
Neuf
Plateau,
Dakar

vendredi, 12:46

Vendeur vérifié

260 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/congelateur-hisense-horizontal-silver-fc-19dd4sa-5768598","CONGELATEUR HISENSE HORIZONTAL SILVER FC-19DD4SA","Neuf","Plateau

Dakar","260 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c5799aac617e1e4c85237200358ba838/-/horizon-files-prod/ed/picture/qrzqkxk2/9ef340a47ee51646067a0110f749d612b70d3572.jpg"
"1717211648-10","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","Congélateur smart t300 litre
Neuf
Plateau,
Dakar

vendredi, 13:20

164 900 F Cfa

763762042","https://www.expat-dakar.com/annonce/congelateur-smart-t300-litre-6024977","Congélateur smart t300 litre","Neuf","Plateau

Dakar","164 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc77262ec84b285bd5d2a079ea84b2a9/-/horizon-files-prod/ed/picture/qxj2mrgn/3897c686ab1b8d8d3991abc6410e9e2b75c123a0.jpg"
"1717211650-11","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","VIP

Congélateur 500L
Neuf
Plateau,
Dakar

mardi, 10:33

325 000 F Cfa

772655737

770591408

783991936","https://www.expat-dakar.com/annonce/congelateur-500l-6078913","Congélateur 500L","Neuf","Plateau

Dakar","325 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/918a8c9745fa8e4035f624ad06d078ab/-/horizon-files-prod/ed/picture/qgq9vn6m/49c6befc74cec6a7a85661a53cd4e7385ffad145.jpg"
"1717211652-12","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=20","A La Une

CONGÉLATEUR ASTECH CH 600S A+
Neuf
Plateau,
Dakar

Hier, 10:41

325 000 F Cfa

360 000 F Cfa

Économisez 9.7%

775267261","https://www.expat-dakar.com/annonce/congelateur-astech-ch-600s-a-6082591","CONGÉLATEUR ASTECH CH 600S A+","Neuf","Plateau

Dakar","360 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4d8290a09e504794c7fdb73ccf7c5272/-/horizon-files-prod/ed/picture/q0gwmk8d/03322efd4d36a2f348e6cde84070810e76d3af5b.jpg"
"1717211657-13","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Fontaine avec frigo deska
Neuf
Colobane,
Dakar

vendredi, 13:32

74 900 F Cfa

772095510","https://www.expat-dakar.com/annonce/fontaine-avec-frigo-deska-6077535","Fontaine avec frigo deska","Neuf","Colobane

Dakar","74 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/067b22ea10c27673dfa10f0e0c9e74b4/-/horizon-files-prod/ed/picture/qgq9v6nk/e59ff21d85d0453ba12f40083790734d98d6f3b3.jpg"
"1717211660-14","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Congélateur ASTECH ch 280s très bon QUALITÉ
Neuf
Plateau,
Dakar

vendredi, 11:21

149 900 F Cfa

190 000 F Cfa

Économisez 21.1%

775267261","https://www.expat-dakar.com/annonce/congelateur-astech-ch-280s-tres-bon-qualite-6064136","Congélateur ASTECH ch 280s très bon QUALITÉ","Neuf","Plateau

Dakar","190 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0f63a8f7cb0b8f01620eeff0fbfea552/-/horizon-files-prod/ed/picture/qkrg4q8v/4aff9a834e53950f85b1097884c58dc7206e363b.jpg"
"1717211662-15","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","CONGÉLATEUR ASTECH CH 600S A+ TRÈS BONNE QUALITÉ
Neuf
Plateau,
Dakar

vendredi, 17:25

340 000 F Cfa

370 000 F Cfa

Économisez 8.1%

775267261","https://www.expat-dakar.com/annonce/congelateur-astech-ch-600s-a-tres-bonne-qualite-6077694","CONGÉLATEUR ASTECH CH 600S A+ TRÈS BONNE QUALITÉ","Neuf","Plateau

Dakar","370 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/986a91d6cdfef8e634d173e4ef3a5376/-/horizon-files-prod/ed/picture/qwe2d7p4/1284fd1f6e8659ffe9877fdc5637711f19ed8c4f.jpg"
"1717211665-16","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Réfrigérateur ASTECH FSS690TD-DA Side by Side 3 Portes
Neuf
Sebikotane,
Dakar

mercredi, 12:10

Vendeur vérifié

550 000 F Cfa

771564545","https://www.expat-dakar.com/annonce/refrigerateur-astech-fss690td-da-side-by-side-3-portes-6072491","Réfrigérateur ASTECH FSS690TD-DA Side by Side 3 Portes","Neuf","Sebikotane

Dakar","550 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/fdbccec330957bf6c2a391ecab0facc9/-/horizon-files-prod/ed/picture/q0gwqn58/25a5f5fcce1ee0cf92a6d6c267ee8c225835e71c.jpg"
"1717211667-17","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Congélateur Midea 417L
D'occasion
Amitié,
Dakar

vendredi, 17:54

250 000 F Cfa

777891477

778095586

773642020","https://www.expat-dakar.com/annonce/congelateur-midea-417l-6077702","Congélateur Midea 417L","D'occasion","Amitié

Dakar","250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c2db71237cf70b52218c9343aace242/-/horizon-files-prod/ed/picture/qv4e26dw/1d80e9a78d7aafaf76acae819c7ed61cb2113c98.jpg"
"1717211670-18","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Réfrigérateur Samsung en très bon état 280L
D'occasion
Amitié,
Dakar

vendredi, 18:13

250 000 F Cfa

777891477

778095586

773642020","https://www.expat-dakar.com/annonce/refrigerateur-samsung-en-tres-bon-etat-280l-6077709","Réfrigérateur Samsung en très bon état 280L","D'occasion","Amitié

Dakar","250 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/4a341d264782b0944d6a95183d887e56/-/horizon-files-prod/ed/picture/q448xv5m/716bc42c6cfeb60a3af2ecf0f119fc6580f48b7e.jpg"
"1717211672-19","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Réfrigérateur side by side Samsung
Venant
Colobane,
Dakar

vendredi, 21:29

374 900 F Cfa

772095510","https://www.expat-dakar.com/annonce/refrigerateur-side-by-side-samsung-6077781","Réfrigérateur side by side Samsung","Venant","Colobane

Dakar","374 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/42c5aea3099554103c1782f456e16ac7/-/horizon-files-prod/ed/picture/qj4rnexe/30c69b812b193b8b5a31988b9e3e85390cf5073f.jpg"
"1717211675-20","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Réfrigérateur side by side Daewoo
Venant
Colobane,
Dakar

vendredi, 21:52

375 000 F Cfa

772095510","https://www.expat-dakar.com/annonce/refrigerateur-side-by-side-daewoo-6077788","Réfrigérateur side by side Daewoo","Venant","Colobane

Dakar","375 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/e84848d6e09c30d050b68c2452b5ba20/-/horizon-files-prod/ed/picture/q6xkg956/19cc7dcfa1b1bb43695a0498799508b2c489e314.jpg"
"1717211677-21","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Réfrigérateur side by side
Venant
Colobane,
Dakar

vendredi, 21:56

374 900 F Cfa

772095510","https://www.expat-dakar.com/annonce/refrigerateur-side-by-side-6077792","Réfrigérateur side by side","Venant","Colobane

Dakar","374 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/7b520301f9d291fdbd8092d353399cf8/-/horizon-files-prod/ed/picture/q9m9pqg5/f6f1c7816e90639b9b0058a9f021e72a5a7a2b21.jpg"
"1717211679-22","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","Réfrigérateur side by side Samsung
Venant
Fass,
Dakar

vendredi, 22:05

374 900 F Cfa

778546592","https://www.expat-dakar.com/annonce/refrigerateur-side-by-side-samsung-6077794","Réfrigérateur side by side Samsung","Venant","Fass

Dakar","374 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/bfc38cbdb6c7ddfac7a299cd82ceb024/-/horizon-files-prod/ed/picture/qwe2d7wk/a85f1d7776a4310065bae103e0a20297142ddf53.jpg"
"1717211682-23","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=19","A La Une

Congélateur elactron 750L
Neuf
Plateau,
Dakar

vendredi, 10:41

Vendeur vérifié

375 000 F Cfa

774578888

338238580

784455800","https://www.expat-dakar.com/annonce/congelateur-elactron-750l-6013059","Congélateur elactron 750L","Neuf","Plateau

Dakar","375 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c920d7a92443a760b362f1fd7d03de1a/-/horizon-files-prod/ed/picture/qj4r9g98/d0da17655e7b6d449268df0a85a0f1e346b68f15.jpg"
"1717211687-24","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","Réfrigérateur side by side Daewoo
Venant
Fass,
Dakar

vendredi, 22:07

374 900 F Cfa

778546592","https://www.expat-dakar.com/annonce/refrigerateur-side-by-side-daewoo-6077796","Réfrigérateur side by side Daewoo","Venant","Fass

Dakar","374 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b2f958fbc87fdaa350db126b1c5c6d61/-/horizon-files-prod/ed/picture/q8v5jwgn/d284fe120778032649a05315843262c1af024e85.jpg"
"1717211689-25","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","Réfrigérateur Samsung 3 tirois
Venant
Fass,
Dakar

vendredi, 22:12

199 900 F Cfa

778546592","https://www.expat-dakar.com/annonce/refrigerateur-samsung-3-tirois-6077801","Réfrigérateur Samsung 3 tirois","Venant","Fass

Dakar","199 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/dec7f0f5f0cee9f68d14000145891296/-/horizon-files-prod/ed/picture/q785kzgq/e645b5d560bc0f50c07a49e76a30cca7c30c3bcd.jpg"
"1717211692-26","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","Réfrigérateur vitrine PERONI
Venant
Fass,
Dakar

vendredi, 22:15

164 900 F Cfa

778546592","https://www.expat-dakar.com/annonce/refrigerateur-vitrine-peroni-6077804","Réfrigérateur vitrine PERONI","Venant","Fass

Dakar","164 900 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/57bffe6181d311cc45fc5873837b9e40/-/horizon-files-prod/ed/picture/q9m9pqg7/8880f730e9bf1f35e5dc35e938701b0678018f9a.jpg"
"1717211694-27","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","Réfrigérateur
D'occasion
Keur Massar,
Dakar

samedi, 08:33

230 000 F Cfa

771484487","https://www.expat-dakar.com/annonce/refrigerateur-5989887","Réfrigérateur","D'occasion","Keur Massar

Dakar","230 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8f48e9b3574da46250706922892029d7/-/horizon-files-prod/ed/picture/qzvd569q/a8577c5866d2c7b3a6667ca7ea31fc919e5a0980.jpg"
"1717211697-28","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","Congélateur horizontal Astech CH520WB 520L
Neuf
Plateau,
Dakar

samedi, 10:38

247 500 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-horizontal-astech-ch520wb-520l-6078024","Congélateur horizontal Astech CH520WB 520L","Neuf","Plateau

Dakar","247 500 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/26f1d941f026d9282cecfb6a3c3acf1f/-/horizon-files-prod/ed/picture/qv4e2678/6adc8ef90e3e9681a58e8a70b0d496ebe01653a1.jpg"
"1717211699-29","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","Congélateur horizontal Astech CH920AC 920L
Neuf
Plateau,
Dakar

samedi, 10:43

700 000 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-horizontal-astech-ch920ac-920l-6078029","Congélateur horizontal Astech CH920AC 920L","Neuf","Plateau

Dakar","700 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb68948065c4f7340e238a8692b785bf/-/horizon-files-prod/ed/picture/qq47mem4/9eb018d6f2ddaa80b3ffeab50750b1f689d436e2.jpg"
"1717211702-30","https://www.expat-dakar.com/refrigerateurs-congelateurs?page=18","CONGELATEUR ASTECH CH800GM
Neuf
Plateau,
Dakar

samedi, 10:47

390 000 F Cfa

771874918","https://www.expat-dakar.com/annonce/congelateur-astech-ch800gm-6078031","CONGELATEUR ASTECH CH800GM","Neuf","Plateau

Dakar","390 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/169482db1c93a1d9d66c3d30180a3f18/-/horizon-files-prod/ed/picture/q448xvx8/0d4bf5dad17d0813f227efe04c37a3990684cc9b.jpg"
