web-scraper-order,web-scraper-start-url,article_link,article_link-href,details,etat,adresse,prix,image_lien-src
"1717211698-1","https://www.expat-dakar.com/machines-a-laver?page=20","Machine a laver 15 kg Samsung
Neuf
Plateau,
Dakar

12. mars, 01:04

420 000 F Cfa

772095510","https://www.expat-dakar.com/annonce/machine-a-laver-15-kg-samsung-6024323","Machine a laver 15 kg Samsung","Neuf","Plateau

Dakar","420 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/1d6473d718eb3d7c45eb365d2fadfe05/-/horizon-files-prod/ed/picture/q785q6ke/92dfd537958fa56c4e5c10b089ce52259389d596.jpg"
"1717211700-2","https://www.expat-dakar.com/machines-a-laver?page=20","Machine a laver sharp 11 kg
Neuf
Plateau,
Dakar

12. mars, 01:07

300 000 F Cfa

772095510","https://www.expat-dakar.com/annonce/machine-a-laver-sharp-11-kg-6024325","Machine a laver sharp 11 kg","Neuf","Plateau

Dakar","300 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/c68d35e3794be2310310ec46fa8c6ebc/-/horizon-files-prod/ed/picture/q0gw64qm/9476b0b04ba44c0cc269bbd3a3670d7996374827.jpg"
"1717211703-3","https://www.expat-dakar.com/machines-a-laver?page=20","MACHINE A LAVER SHARP 8KG SLVER
Neuf
Plateau,
Dakar

12. mars, 01:11

219 000 F Cfa

777510319

777510319","https://www.expat-dakar.com/annonce/machine-a-laver-sharp-8kg-slver-6024324","MACHINE A LAVER SHARP 8KG SLVER","Neuf","Plateau

Dakar","219 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/92c9fd5cdf95a53bfef805976d41163d/-/horizon-files-prod/ed/picture/qv4erj22/c3d7f5be6ca36eb401cafb89a0740f9a8b45810c.jpg"
"1717211775-4","https://www.expat-dakar.com/machines-a-laver?page=20","MACHINE A LAVER SHARP 10KG SLVER FULL AUTOMATIQUE
Neuf
Plateau,
Dakar

12. mars, 14:52

249 000 F Cfa

777510319

777510319","https://www.expat-dakar.com/annonce/machine-a-laver-sharp-10kg-slver-full-automatique-6024943","MACHINE A LAVER SHARP 10KG SLVER FULL AUTOMATIQUE","Neuf","Plateau

Dakar","249 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c300f3f70560e1332bb87f911426513/-/horizon-files-prod/ed/picture/qzvdkm8v/a860ec056b27a17f762e29f14c28390790146eae.jpg"
"1717211778-5","https://www.expat-dakar.com/machines-a-laver?page=20","MACHINE A LAVER SHARP 11KG AUTOMATIQUE TOP LOADING
Neuf
Plateau,
Dakar

12. mars, 15:04

259 000 F Cfa

784626090

784626090","https://www.expat-dakar.com/annonce/machine-a-laver-sharp-11kg-automatique-top-loading-6025007","MACHINE A LAVER SHARP 11KG AUTOMATIQUE TOP LOADING","Neuf","Plateau

Dakar","259 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4a63678a9a34ff6747b241b522ff502/-/horizon-files-prod/ed/picture/qq47n0wp/06af9213d4f826fa4b428002a4a39a883af0f17f.jpg"
"1717211781-6","https://www.expat-dakar.com/machines-a-laver?page=20","Machines à laver
Venant
Guediawaye,
Dakar

13. mars, 09:45

95 000 F Cfa

705550147

705550147","https://www.expat-dakar.com/annonce/machines-a-laver-6025172","Machines à laver","Venant","Guediawaye

Dakar","95 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/ca3629fc40ca97bff1adc59d290ca62f/-/horizon-files-prod/ed/picture/qwe2x4xj/75509039c23a735e14fdb0144b3f52735dd014cf.jpg"
"1717211785-7","https://www.expat-dakar.com/machines-a-laver?page=20","Machine à laver Samsung 7kg 5
D'occasion
Guediawaye,
Dakar

13. mars, 09:55

145 000 F Cfa

705550147

705550147","https://www.expat-dakar.com/annonce/machine-a-laver-samsung-7kg-5-5996868","Machine à laver Samsung 7kg 5","D'occasion","Guediawaye

Dakar","145 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/65c34284e0b198b48e43ccdd2af04767/-/horizon-files-prod/ed/picture/qv4e0ww2/b63a6636dbff44919f4b2d09cbf00830d31db4c8.jpg"
"1717211789-8","https://www.expat-dakar.com/machines-a-laver?page=20","Machine à laver Bosch
Venant
Sacré-cœur,
Dakar

13. mars, 15:26

140 000 F Cfa

781855699","https://www.expat-dakar.com/annonce/machine-a-laver-bosch-6025892","Machine à laver Bosch","Venant","Sacré-cœur

Dakar","140 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4740f7e3f773e664946b9b7961268d2/-/horizon-files-prod/ed/picture/q9m9zpjj/c7e737d616e415bca960632bacc4be0b8654a521.jpg"
"1717211793-9","https://www.expat-dakar.com/machines-a-laver?page=20","Machine à laver Faure 7-8 kg
Venant
Sacré-cœur,
Dakar

13. mars, 16:27

130 000 F Cfa

781855699","https://www.expat-dakar.com/annonce/machine-a-laver-faure-7-8-kg-6025934","Machine à laver Faure 7-8 kg","Venant","Sacré-cœur

Dakar","130 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/5ac36ef9207e3f134c4a9ec03f218d79/-/horizon-files-prod/ed/picture/qm5p7z6r/013d36f14d61e78e402170fc521f9f8373f52063.jpg"
"1717211801-10","https://www.expat-dakar.com/machines-a-laver?page=19","MACHINE A LAVER 10KG ASTECH SILVER
Neuf
Plateau,
Dakar

14. mars, 00:35

279 000 F Cfa

770723466","https://www.expat-dakar.com/annonce/machine-a-laver-10kg-astech-silver-6026132","MACHINE A LAVER 10KG ASTECH SILVER","Neuf","Plateau

Dakar","279 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/765a00781a848032aeefb3d14421ba39/-/horizon-files-prod/ed/picture/qrzvwgwq/43574a05efb2785aa5fd1be9c371fca89d532c6e.jpg"
"1717211804-11","https://www.expat-dakar.com/machines-a-laver?page=19","MACHINE A LAVER ASTECH 12KG INVERTER SILVER
Neuf
Plateau,
Dakar

14. mars, 17:06

349 000 F Cfa

776862827","https://www.expat-dakar.com/annonce/machine-a-laver-astech-12kg-inverter-silver-6026825","MACHINE A LAVER ASTECH 12KG INVERTER SILVER","Neuf","Plateau

Dakar","349 000 F Cfa","https://i.roamcdn.net/hz/ed/listing-thumb-543w/8daa66b39b39c55a1a1bcb10dcfd6b83/-/horizon-files-prod/ed/picture/q0gw4p2x/9dd04c062342c23903c2ddcbf26d4cac0a3dfa95.jpg"
